Brand	Model	URL	Type	Nominal diameter [″]	Nominal diameter [mm]	SPL 1W [dB]	fs [Hz]	Qms	Qes	Qts	xmax [mm]	Power [W]	Pmax [W]	Z [Ω]	Re [Ω]	Le [mH]	Sd [cm²]	Mms [g]	Mmd [g]	Cms [µm/N]	Vas [L]	Rms [N·s/m]
Eighteen Sound	15NLW9401 8Ω	loudspeakerdatabase.com/18Sound/15NLW9401_8Ω	Subwoofer	15	380	95.3	39.0	4.13	0.28	0.26	10.0	1200	2400	8	5.2	1.9	850.0	140	122.5	119	134	8.31
Eighteen Sound	15NLW9500	loudspeakerdatabase.com/18Sound/15NLW9500	Subwoofer	15	380	93.8	34.0	7.84	0.30	0.29	9.0	1000	1400	4	2.7	0.58	850.0	172	154.7	127	147.5	4.69
Eighteen Sound	15NLW9500 8Ω	loudspeakerdatabase.com/18Sound/15NLW9500_8Ω	Subwoofer	15	380	94.1	35.0	6.70	0.34	0.32	9.0	1000	1400	8	4.9	0.8	850.0	146	128.7	142	163	4.79
Eighteen Sound	15NMB1000	loudspeakerdatabase.com/18Sound/15NMB1000	Subwoofer	15	387	98.4	46.0	8.30	0.24	0.24	6.5	900	1800	8	5.3	0.89	855.0	100	82.6	120	124	3.48
Eighteen Sound	15NMB420	loudspeakerdatabase.com/18Sound/15NMB420	Subwoofer	15	380	99.4	42.0	6.00	0.30	0.29	6.5	450	700	8	5.6	0.8	900.0	73	54.7	197	225	3.21
Eighteen Sound	15NTLS3500	loudspeakerdatabase.com/18Sound/15NTLS3500	Subwoofer	15	393	89.7	28.0	8.20	0.44	0.42	15.3	950	1900	8	5.2	1.65	881.0	250	231.8	144	141	5.36
Eighteen Sound	15NTLW3500	loudspeakerdatabase.com/18Sound/15NTLW3500	Subwoofer	15	393	96.6	46.0	9.40	0.41	0.40	8.3	900	1800	4	3.1	0.29	881.0	115	96.8	104	115	3.54
Eighteen Sound	15NTLW3500 8Ω	loudspeakerdatabase.com/18Sound/15NTLW3500_8Ω	Subwoofer	15	393	97.0	45.0	8.70	0.40	0.39	8.3	900	1800	8	5.2	0.46	881.0	106	87.8	118	131	3.44
Eighteen Sound	15NW530	loudspeakerdatabase.com/18Sound/15NW530	Subwoofer	15	380	94.4	38.0	5.81	0.35	0.33	7.5	500	800	8	5.3	1.4	855.0	135	117.6	130	154	5.55
Eighteen Sound	15TLW3000	loudspeakerdatabase.com/18Sound/15TLW3000	Subwoofer	15	380	94.1	44.0	9.80	0.41	0.39	9.0	1500	3000	4	2.5	1.0	881.0	177	158.8	74	80	4.99
Eighteen Sound	15TLW3000 8Ω	loudspeakerdatabase.com/18Sound/15TLW3000_8Ω	Subwoofer	15	380	93.6	42.0	10.50	0.46	0.44	9.0	1500	3000	8	6.0	1.78	881.0	157	138.8	91	140	3.95
Eighteen Sound	15W1301	loudspeakerdatabase.com/18Sound/15W1301	Low frequency	15	380	97.2	48.0	8.50	0.37	0.32	6.0	800	1200	8	5.5	1.55	900.0	99	80.7	107	123	3.51
Eighteen Sound	15W500	loudspeakerdatabase.com/18Sound/15W500	Subwoofer	15	380	97.0	50.0	9.64	0.55	0.52	4.0	350	500	8	5.2	1.04	850.0	55	37.7	184	189	1.79
Eighteen Sound	15W600	loudspeakerdatabase.com/18Sound/15W600	Low frequency	15	380	96.4	38.0	7.20	0.30	0.29	6.5	500	600	8	5.6	1.85	850.0	93	75.7	179	183	3.08
Eighteen Sound	15W700	loudspeakerdatabase.com/18Sound/15W700	Subwoofer	15	380	97.4	41.0	4.03	0.29	0.27	6.5	450	700	4	2.8	0.54	850.0	86	68.7	175	180	5.5
Eighteen Sound	15W700 8Ω	loudspeakerdatabase.com/18Sound/15W700_8Ω	Subwoofer	15	380	96.5	38.0	3.80	0.33	0.30	6.5	450	700	8	5.7	1.57	850.0	80	62.7	219	217	5.03
Eighteen Sound	15W750	loudspeakerdatabase.com/18Sound/15W750	Subwoofer	15	380	96.6	39.0	6.20	0.30	0.29	8.0	600	1200	4	2.7	0.73	850.0	89.5	72	186	253	3.54
Eighteen Sound	15W750 8Ω	loudspeakerdatabase.com/18Sound/15W750_8Ω	Subwoofer	15	380	96.1	39.0	9.34	0.39	0.37	8.0	600	1200	8	5.1	1.1	850.0	88	70.5	189	218	2.31
Eighteen Sound	15W930	loudspeakerdatabase.com/18Sound/15W930	Subwoofer	15	380	96.8	33.0	8.78	0.23	0.22	7.5	500	800	8	5.5	1.47	850.0	97	79.5	240	240	2.29
Eighteen Sound	18LW1251	loudspeakerdatabase.com/18Sound/18LW1251	Subwoofer	18	460	96.9	35.0	8.00	0.28	0.27	9.0	1000	1400	8	5.0	2.73	1134.0	142	114.6	146	268	3.9
Eighteen Sound	18LW1400	loudspeakerdatabase.com/18Sound/18LW1400	Subwoofer	18	460	96.0	33.0	6.60	0.34	0.32	9.0	1000	1400	4	3.6	1.5	1225.0	190	160.3	122	210	5.97
Eighteen Sound	18LW1400 8Ω	loudspeakerdatabase.com/18Sound/18LW1400_8Ω	Subwoofer	18	460	95.6	31.0	7.20	0.31	0.29	9.0	1000	1400	8	5.0	2.3	1225.0	190	160.3	139	297	5.14
